,arithmetic_mu,sigma,naive_md,adjusted_md
1905-07-31,0.07643739552153068,0.08676746928941263,-0.19527617483347648,-0.2817050395402116
1905-08-31,0.0737711097304402,0.08480911348923148,-0.19209090782186858,-0.27744650284659
1905-09-30,0.07456984399178168,0.08619524724867803,-0.1956553597497714,-0.28221124672279885
1905-10-31,0.07248645675341125,0.08511359522460983,-0.1949513071859877,-0.281271219442842
1905-11-30,0.07290710421328919,0.08473319292335704,-0.19307550908685367,-0.2787640553695919
1905-12-31,0.07058540480299924,0.08275394622464248,-0.19000889462841847,-0.27465692765319627
1906-01-31,0.07540964737491598,0.08537293279922786,-0.1919590352167287,-0.27726995542519395
1906-02-28,0.07601371945846788,0.08466320220935791,-0.18891480329380272,-0.2731891035084493
1906-03-31,0.07859374605733374,0.08680162869351109,-0.19263337482270781,-0.2781725415726249
1906-04-30,0.07937764017561563,0.08688830083858293,-0.19188883224656172,-0.27717596181464865
1906-05-31,0.08012848370396812,0.08623991225275937,-0.18885152775626313,-0.2731041732774768
1906-06-30,0.08104286524102809,0.08810978303473715,-0.19360495864371047,-0.27947210189146315
1906-07-31,0.08267747601593574,0.08856606094588004,-0.19292896750470082,-0.27856802705594985
1906-08-31,0.07907543862778021,0.08696402788085023,-0.19252271623474743,-0.27802446221733573
1906-09-30,0.0776804416796355,0.08552409906634756,-0.1897188775402089,-0.2742679713150096
1906-10-31,0.0802592384320433,0.08799988554875869,-0.1942751708795184,-0.28036795175210716
1906-11-30,0.08079505371276785,0.08804568144951008,-0.19372358914179896,-0.2796307072252991
1906-12-31,0.08069217024620953,0.08757493832226079,-0.19236085819275456,-0.2778078453282104
1907-01-31,0.07755815489639815,0.08610586661633317,-0.19176590927249668,-0.2770113691948608
1907-02-28,0.08014971684544636,0.08711705865167266,-0.19161125768155873,-0.27680426866774627
1907-03-31,0.08634182677084061,0.09073037386026947,-0.195385322414465,-0.2818507664241683
1907-04-30,0.08320610261335341,0.08814366178688031,-0.1908979279818962,-0.27584867797265944
1907-05-31,0.08663144439520261,0.0905516209828537,-0.1944824191363567,-0.2806448734171316
1907-06-30,0.08870222859722247,0.09043253361033513,-0.1917150083245357,-0.2769432084737481
1907-07-31,0.0859934222474424,0.08971105811319263,-0.1925475444604214,-0.27805768763089733
1907-08-31,0.0910037371006833,0.09155143626252789,-0.192621648563979,-0.2781568505516397
1907-09-30,0.09214425870678655,0.09214601403506473,-0.1931963049035151,-0.2789256258748438
1907-10-31,0.09985490186264542,0.09447591659081121,-0.19156994815260933,-0.2767489448671881
1907-11-30,0.10451653781097844,0.09542530146304123,-0.18958109450518495,-0.27408315121645555
1907-12-31,0.10144632108571872,0.09385956484457639,-0.18806796627644218,-0.27205208976183903
1908-01-31,0.09257328623787432,0.09207549346040614,-0.1924536903125085,-0.2779320873811916
1908-02-29,0.09352108384777164,0.09121937280474296,-0.18862418511739956,-0.2727989911658077
1908-03-31,0.09347966297645581,0.09312793529100012,-0.19464144027321295,-0.28085732277408315
1908-04-30,0.08807215510328228,0.09047225636208994,-0.1925681415728681,-0.2780852504060901
1908-05-31,0.08420619074421157,0.08864350164889455,-0.19122710745238208,-0.2762897229076596
1908-06-30,0.08619983750907236,0.09019964861965576,-0.19386023939354655,-0.2798133852302494
1908-07-31,0.08597680309806814,0.09012978532588263,-0.1938951961042586,-0.27986011307183095
1908-08-31,0.08525364924020609,0.09050032702173193,-0.19590834485283826,-0.2825488907512611
1908-09-30,0.08481040495586291,0.08891869130602222,-0.19140183249254833,-0.27652377654862187
1908-10-31,0.08422424666711871,0.08917108805782983,-0.1928774216159549,-0.27849906863165974
1908-11-30,0.08081473550501445,0.0890569181926003,-0.1969139084001783,-0.28389025999348777
1908-12-31,0.07870829185044917,0.08639879527292321,-0.19120426492855147,-0.2762591216294775
1909-01-31,0.09241947984420926,0.09248177293192941,-0.19391110604389175,-0.27988137999209123
1909-02-28,0.0942597437964628,0.09338432856420842,-0.1944939576704001,-0.2806602896254577
1909-03-31,0.09324157283534329,0.09270984327720513,-0.19362372443013218,-0.2794971922024972
1909-04-30,0.09032694218198355,0.0912805810164402,-0.1925400642711393,-0.27804767762802196
1909-05-31,0.0893998176920964,0.0915913617964838,-0.19459871683043017,-0.2808002477615393
1909-06-30,0.08810435660620292,0.09041751488121323,-0.19235680518828469,-0.27780242076560724
1909-07-31,0.08724981221820587,0.0896792106094563,-0.19099751217495126,-0.2759821165598131
1909-08-31,0.08725046174326198,0.090846865686063,-0.1947080382243095,-0.28094628816564216
1909-09-30,0.08736000624968882,0.09078080023744113,-0.1943714315170533,-0.2804965794869389
1909-10-31,0.08724294142764139,0.09137053463882933,-0.19638350078949274,-0.28318286256342856
1909-11-30,0.08767228641921361,0.09014266676592977,-0.1919806040619376,-0.27729883251121074
1909-12-31,0.08871884141345475,0.09151048601189135,-0.19512669669377275,-0.28150544460590476
1910-01-31,0.08672987229334542,0.08966152198516897,-0.19154116857350167,-0.2767104006967512
1910-02-28,0.08958696754768368,0.09232624053609008,-0.196722627226869,-0.28363518656697406
1910-03-31,0.08901249758817613,0.0917557558042146,-0.1955688111951953,-0.28209571940078665
1910-04-30,0.08915828484896651,0.08990256959421963,-0.18950399281386357,-0.27397971905067026
1910-05-31,0.09084405078797922,0.09241928563460164,-0.1955689912119231,-0.2820959597004737
1910-06-30,0.09304428584053906,0.09351846978933633,-0.19639281156232333,-0.28319528288325635
1910-07-31,0.09387667198957293,0.09244531446939261,-0.19202363646971718,-0.2773564441983819
1910-08-31,0.09233855584179501,0.09169764885033399,-0.19154753048712622,-0.27671892121540154
1910-09-30,0.08971560757932144,0.090205927607532,-0.18982511343626368,-0.274410460296109
1910-10-31,0.08747089072656708,0.09041293849099975,-0.19307288499281416,-0.2787605453331653
1910-11-30,0.08735873855025328,0.08944565258628899,-0.19013190011131573,-0.2748218684805728
1910-12-31,0.08913362220219793,0.09130729062802026,-0.19400146470407725,-0.2800021577222897
1911-01-31,0.07734199369255891,0.08696508973969393,-0.194781608218018,-0.2810445615429293
1911-02-28,0.07640903504370422,0.08648330341821983,-0.19438207055467455,-0.2805107952155282
1911-03-31,0.07681232747960959,0.08631538978906443,-0.19334810417477813,-0.27912864230751666
1911-04-30,0.07761553318216577,0.08712017550934405,-0.19491858350040991,-0.28122751461904194
1911-05-31,0.07803011418083436,0.08696049436762551,-0.19387163755472936,-0.2798286216933467
1911-06-30,0.07854921160560166,0.08819153194842293,-0.19710957612044794,-0.28415114123758384
1911-07-31,0.07767550282400117,0.08639424366398772,-0.19253364317200186,-0.27803908485240686
1911-08-31,0.08032506357471206,0.08891978673906197,-0.1971148752805112,-0.28415820595352403
1911-09-30,0.08147639378921928,0.0887259946835952,-0.19500042706918055,-0.28133682035079033
1911-10-31,0.0810836444155455,0.08805525427366505,-0.1933785189905299,-0.2791693160514874
1911-11-30,0.07916208986188042,0.08692193089972561,-0.19227617925476798,-0.27769450683504393
1911-12-31,0.07838405822805052,0.08698225334121086,-0.19348024701132305,-0.2793053495765913
1912-01-31,0.08410751501458615,0.08787669935035632,-0.18891263207002965,-0.27318618930295147
1912-02-29,0.08468117351133397,0.08845499899528773,-0.19008225233802398,-0.27475529666429427
1912-03-31,0.08418783845349559,0.08837151968596751,-0.19038689246021998,-0.27516374046197833
1912-04-30,0.08355032759242899,0.08880615116884515,-0.19255680935703723,-0.2780700858470384
1912-05-31,0.08472168366319717,0.08912343564914291,-0.192152722478152,-0.27752925202546447
1912-06-30,0.08465942517486047,0.08931565868005836,-0.19283347101698253,-0.27844026892687135
1912-07-31,0.08367204600318177,0.08825403799248499,-0.19064262063908843,-0.2755065271483104
1912-08-31,0.08259980374040236,0.0879888284452828,-0.19119452733475628,-0.27624607636335374
1912-09-30,0.08140514364783244,0.08701193146811217,-0.1896436048005323,-0.2741670041778678
1912-10-31,0.08068939113665471,0.08666665243007649,-0.18947763984290517,-0.2739443649562623
1912-11-30,0.08037657476871796,0.08715932656544212,-0.19145041799134932,-0.27658885348460716
1912-12-31,0.07998613182948584,0.08676910229063978,-0.19071827009964396,-0.27560791645205773
1913-01-31,0.0737775286301941,0.0834987220161134,-0.1878065989341124,-0.271701003116115
1913-02-28,0.07492004401891653,0.08474248880145388,-0.19049025625398897,-0.2753023014434422
1913-03-31,0.07428520446341473,0.08281695408712209,-0.18497123000492433,-0.26788751074638867
1913-04-30,0.07562522716525111,0.0843519264282471,-0.18836648773284753,-0.2724529924504687
1913-05-31,0.07769899980856389,0.08518172001146457,-0.18857865670426321,-0.2727378675211966
1913-06-30,0.0799766236275138,0.08584644505665699,-0.18779910664834615,-0.27169093785308224
1913-07-31,0.08098792282526858,0.08648314442182609,-0.18850607842345052,-0.27264042367492486
1913-08-31,0.07996566105981474,0.08614771344184954,-0.1887704614435236,-0.27299535732498115
1913-09-30,0.07729959379197968,0.08389275638293862,-0.1848522446124293,-0.26772728536322604
1913-10-31,0.08012219204366652,0.08671521772776339,-0.1903699952863584,-0.27514108838592505
1913-11-30,0.0825312784143746,0.08752986847051078,-0.18982458217187054,-0.2744097477682005
1913-12-31,0.08126298113180376,0.08609382672581051,-0.18691121969168117,-0.2704976982964583
1914-01-31,0.07157236960844053,0.0823523103269672,-0.18723376086517976,-0.270931264676783
1914-02-28,0.07012727016531943,0.08153566269928618,-0.1864959680028353,-0.2699393400596717
1914-03-31,0.06987393863965388,0.0809405299509601,-0.18482090355593705,-0.2676850789965243
1914-04-30,0.07080850368982493,0.08168959676716198,-0.1860897767322123,-0.2693929811825945
1914-05-31,0.07182721592357406,0.08306434963398533,-0.18919433874535108,-0.27356425125798434
1914-06-30,0.07202976973930128,0.08308226660091372,-0.18895231528686363,-0.27323945109589215
1914-07-31,0.07181433433019999,0.08136711474967757,-0.18362333989567553,-0.26607153481335355
1914-08-31,0.07160562085663362,0.08221355464710048,-0.1867286216407512,-0.27025219556624425
1914-09-30,0.07538706820641253,0.08507431262627836,-0.1910112590036482,-0.2760005358692674
1914-10-31,0.07189661031486787,0.0814145231076099,-0.18367211675045522,-0.2661372854038295
1914-11-30,0.07317341070752491,0.08384503486520621,-0.18976009959450008,-0.2743232619025121
1914-12-31,0.07477224946697934,0.08406570869120564,-0.1884592443985631,-0.2725775410781703
1915-01-31,0.10805159579662599,0.09674490367014765,-0.18995955802444708,-0.2745907664112292
1915-02-28,0.10933812382152547,0.09633424272732825,-0.18742378839198776,-0.27118664995721853
1915-03-31,0.10736124783931819,0.09647439259760636,-0.18984688029991947,-0.2744396535870886
1915-04-30,0.10077674657821264,0.09305834902331007,-0.18635881173110125,-0.2697548744928015
1915-05-31,0.09716564937313009,0.09464945664758799,-0.19509941732463615,-0.2814690164009591
1915-06-30,0.0951006633658554,0.09270772781670222,-0.1914095291890821,-0.27653408591766493
1915-07-31,0.09594867365719992,0.0932924528191187,-0.19226046707556174,-0.2776734760070585
1915-08-31,0.09446602512870975,0.09426698277574985,-0.19700573632383617,-0.28401269822247277
1915-09-30,0.09076755407928663,0.09195935421928665,-0.19419273153655192,-0.2802577845417605
1915-10-31,0.08627372036254627,0.0897019918588068,-0.19219552147900343,-0.277586543130333
1915-11-30,0.08435905283638553,0.08949670963839228,-0.19375350832773375,-0.27967070581386944
1915-12-31,0.08416512128711807,0.08940801141287699,-0.1936961807656914,-0.2795940644430532
1916-01-31,0.13932290345968779,0.10920163865219483,-0.1974148078407731,-0.28455801865805314
1916-02-29,0.14128322922205633,0.10959626065870479,-0.19681874912215042,-0.28376337013602876
1916-03-31,0.14142565549794064,0.1094809455695472,-0.19638193802921852,-0.28318077787402723
1916-04-30,0.14307725568939317,0.10973468134210757,-0.1956646163926766,-0.2822236022491974
1916-05-31,0.1407829144111579,0.1096100309877093,-0.19728374932849477,-0.2843833286971573
1916-06-30,0.1375682139588241,0.10720353573850959,-0.19339968834844073,-0.27919762524078245
1916-07-31,0.13990571104247604,0.10786940833803267,-0.19327718716484504,-0.2790338010124148
1916-08-31,0.13960829758826335,0.10831521982804018,-0.19474906987167365,-0.2810010981823591
1916-09-30,0.13260883140745627,0.10526370844108758,-0.19199744064076493,-0.2773213735262534
1916-10-31,0.13020464000170046,0.10533133896851955,-0.19420558503367158,-0.2802749617101421
1916-11-30,0.12767464079329086,0.10457902170310715,-0.19434385216466418,-0.280459727774419
1916-12-31,0.13446809519129846,0.10715022777323385,-0.1957397206827279,-0.2823238460191045
1917-01-31,0.11698274145981577,0.10143034707230572,-0.1950210471155525,-0.28136435817918076
1917-02-28,0.12425588637195742,0.10353737384112469,-0.19445871079393118,-0.28061319711859256
1917-03-31,0.12214893977267043,0.10333003270308679,-0.19578881626030087,-0.2823893718885309
1917-04-30,0.12391782331001029,0.10306356576722941,-0.19339580400281237,-0.27919243085111733
1917-05-31,0.12986531003008453,0.10515080316142804,-0.1939932477125765,-0.2799911748675534
1917-06-30,0.12915976774669038,0.10519867283713458,-0.19477872805287497,-0.2810407143859135
1917-07-31,0.13475780788255448,0.10778196008348404,-0.19726331921105483,-0.2843560953687456
1917-08-31,0.14113014388877015,0.11054127658916896,-0.19958043223610783,-0.28744187805361376
1917-09-30,0.14784628819718754,0.11143427763824885,-0.19637197893765412,-0.28316749259182417
1917-10-31,0.15837840227025807,0.11485577962444986,-0.19717664149743697,-0.2842405489473125
1917-11-30,0.17311948031909993,0.1179157634953672,-0.1947599568641326,-0.2810156407006602
1917-12-31,0.1829432375401226,0.12113775587195727,-0.1966640210522337,-0.2835570271839239
1918-01-31,0.13131022854157182,0.10530316590056067,-0.1931596374147751,-0.27887658295348733
1918-02-28,0.13191822075837184,0.10750195365248782,-0.19892982571835918,-0.2865760383052715
1918-03-31,0.13444266000562205,0.10748337178258872,-0.19668758257683716,-0.2835884501671415
1918-04-30,0.13570788193327493,0.10760997994800199,-0.19601461228255423,-0.282690698512405
1918-05-31,0.13433247729922515,0.10801124242134882,-0.1982462989641427,-0.28566588611528204
1918-06-30,0.13249233733632204,0.10560977818428068,-0.19305454946548603,-0.27873601918337637
1918-07-31,0.13314385005055243,0.10591647583292874,-0.19337979114268888,-0.2791710172788533
1918-08-31,0.13518288889258812,0.10770694932950166,-0.19671001149711453,-0.28361836207777036
1918-09-30,0.13702042050191798,0.1082630924120501,-0.19678434950103246,-0.28371749761190085
1918-10-31,0.13151343620147907,0.10554622499859921,-0.19367108980604683,-0.2795605191347086
1918-11-30,0.12965289247151462,0.1051215463662471,-0.1941031401078027,-0.2801380512172541
1918-12-31,0.13396777041778654,0.10632602976559678,-0.19385157875156928,-0.27980180804347066
1919-01-31,0.1300237444814937,0.10434695750245478,-0.19154274644511896,-0.2767125139462778
1919-02-28,0.1313279857686046,0.10519569746039599,-0.19284630666950664,-0.27845744143989715
1919-03-31,0.13040261895600772,0.10546099377065833,-0.19440000143490088,-0.2805347539172572
1919-04-30,0.126431051613131,0.1025833759668741,-0.18970141959083392,-0.2742445546386649
1919-05-31,0.1222880229562938,0.10202776201998584,-0.19188917204468126,-0.27717641677785965
1919-06-30,0.12123663789259372,0.10181218548810528,-0.1922283834231747,-0.2776305310395029
1919-07-31,0.12026105780890455,0.10181078272397588,-0.19311835765858465,-0.27882136933519425
1919-08-31,0.12773087795743265,0.10460323792910267,-0.19436249262674982,-0.28048463537441637
1919-09-30,0.12523757509940814,0.10243557891198075,-0.19036728203947317,-0.2751374510220804
1919-10-31,0.1225171905553891,0.10220920310621003,-0.19220463248769648,-0.2775987389435778
1919-11-30,0.1259211125058908,0.10277451217408398,-0.19072248988433696,-0.27561357183949775
1919-12-31,0.1276992512469687,0.102716526519149,-0.18892465689346993,-0.27320232889460494
1920-01-31,0.11822823269705249,0.09986944323112558,-0.18936481358846985,-0.2737929931181605
1920-02-29,0.12617163128455935,0.10270690233664903,-0.19029701565659723,-0.27504324947543174
1920-03-31,0.12271737496385611,0.10231971812068372,-0.19234125873693197,-0.2777816131453655
1920-04-30,0.12491895583371697,0.10226029873778944,-0.19015160227517552,-0.274848286010223
1920-05-31,0.13156170930390423,0.10452314303668542,-0.19078628947028592,-0.27569907414153133
1920-06-30,0.13616723496888772,0.10745633105784878,-0.19521985289249427,-0.28162983695351423
1920-07-31,0.13603046791348544,0.1066298099013485,-0.19302976251146403,-0.27870286282439155
1920-08-31,0.141458611603602,0.10947315822325228,-0.1963325050420512,-0.2831148339203315
1920-09-30,0.1385911574143236,0.10888160619973306,-0.1971653606914447,-0.28422551037061616
1920-10-31,0.13708814907329242,0.10788438788323228,-0.19567660412566507,-0.28223960302359713
1920-11-30,0.14383999944293666,0.11060354638946518,-0.1974414259482124,-0.28459349604547435
1920-12-31,0.15421232985933522,0.11397590564895949,-0.19817362641705488,-0.2855690885324275
1921-01-31,0.09524828582278347,0.0954738253507589,-0.1998764065198103,-0.2878356122699061
1921-02-28,0.09457891079810268,0.09373683362924674,-0.1952208808743602,-0.2816312095741097
1921-03-31,0.09542446021014632,0.09474752603252073,-0.1974055272833802,-0.2845456490781232
1921-04-30,0.09340005404662255,0.09221785031948986,-0.19189252657407435,-0.27718090822457525
1921-05-31,0.09221152686880452,0.09186756443828284,-0.1922350035397844,-0.27763939236439833
1921-06-30,0.09429815816808862,0.09339430836378967,-0.19447842064995632,-0.28063953115325657
1921-07-31,0.09236994304541324,0.09229859600796758,-0.19339867039934847,-0.27919626397726044
1921-08-31,0.09243362549841252,0.09302354513222624,-0.19558804410033856,-0.28212139270827696
1921-09-30,0.08993517012427091,0.0915405944119941,-0.19381962441171,-0.27975909209424754
1921-10-31,0.0884977892620129,0.09149996019199554,-0.19534815172714554,-0.28180113996630907
1921-11-30,0.08539572685871356,0.09121907964441282,-0.1980319868897472,-0.28538041237178263
1921-12-31,0.08357347143228214,0.09072209638496745,-0.1986320724636235,-0.2861796272024596
1922-01-31,0.11896024348560313,0.10271603458091376,-0.19693227166472882,-0.28391474528766286
1922-02-28,0.1171891483391822,0.10273199724897063,-0.19865328866940918,-0.28620787643303985
1922-03-31,0.1127184235970594,0.10063274616409112,-0.196930452596875,-0.28391231978715076
1922-04-30,0.1078319741373617,0.09938436951291661,-0.1981084443262478,-0.2854822630633328
1922-05-31,0.10660685225944314,0.10053070581686087,-0.20281112857051473,-0.2917344546546726
1922-06-30,0.10648923357414719,0.100523442908444,-0.20290820710197743,-0.2918632637279286
1922-07-31,0.1042905488864647,0.09917648852234538,-0.20108693329262495,-0.28944497149600074
1922-08-31,0.10195096162350324,0.0989996384017325,-0.20319922538669313,-0.2922493404906107
1922-09-30,0.10006286855340757,0.09814604155504152,-0.2026982659035212,-0.29158468930029585
1922-10-31,0.09807126179848692,0.09636734928439253,-0.19942575077017943,-0.2872360671551408
1922-11-30,0.10130382730232612,0.09811863270180796,-0.2011872568128543,-0.2895782762927894
1922-12-31,0.10050893713917054,0.09733356450364561,-0.19964577712154466,-0.28752881456103824
1923-01-31,0.12281332458104388,0.10464575198674567,-0.19899268404159642,-0.2866597116983312
1923-02-28,0.11957762298156516,0.10403074511214082,-0.2001755522776931,-0.2882334675791006
1923-03-31,0.11933831573442213,0.10411157146980846,-0.20064125152500634,-0.28885263836632336
1923-04-30,0.12220344644599868,0.10516580324769048,-0.2010590389846183,-0.28940790498957836
1923-05-31,0.12744837270301665,0.10792084664898742,-0.20424226377796864,-0.29363231258361927
1923-06-30,0.1301061513790449,0.10762378386984509,-0.20094423672474768,-0.2892553444732686
1923-07-31,0.13256360828422978,0.10777975816288525,-0.1991442187854221,-0.2868614081857934
1923-08-31,0.13286444166998423,0.108465472947113,-0.2008581631286583,-0.2891409519169401
1923-09-30,0.1336858094113163,0.1094750813897144,-0.20303558350729672,-0.2920322579427283
1923-10-31,0.13504876115378858,0.10962749072525572,-0.20222871918213223,-0.29096146455817984
1923-11-30,0.12960328302622318,0.1061474928906952,-0.19712319268204798,-0.2841692944559343
1923-12-31,0.1271497091321001,0.10604942288557206,-0.19908779014904565,-0.28678630322848403
1924-01-31,0.12075166265695518,0.1048265604346073,-0.20140609698240008,-0.28986902157679395
1924-02-29,0.11997010988497764,0.10404119365405157,-0.19984614979491455,-0.2877953662087993
1924-03-31,0.1213781021360627,0.10437540177431558,-0.1995243874242965,-0.28736731086028716
1924-04-30,0.12394527283308338,0.10572806156445139,-0.20109287907295953,-0.28945287225546873
1924-05-31,0.1254541213640375,0.10739939436828053,-0.20455731735249855,-0.2940498090510248
